,business_id,positive words,negative words
187,oVdcOfPFUHae6vRnAEzFFg,,"breakfast,chips,lunch,asada,burrito"
188,mswelTP1cQiuAps2fSGuBw,"service,bacon","time,manager,fries"
189,PQWE8a6Opjiuzt7DaX2R6Q,patio,"service,lunch,time,chips,dinner"
190,juFdbC8ihaQUturmM9rryA,,lunch
191,dODimuyIJGIxER5uzX5WuQ,"fish,price","service,meat,time,breakfast,taco"
192,8KEB1lcjKlIVSd6uA8JB9w,,"chicken,dinner,service"
193,YbsnQgu_3OmNYsCMXegeHw,,"dinner,taco,service,time,atmosphere"
194,5lw5rrhFMz-liykUn8dGSw,,"taco,service,pork,price,steak"
195,sygVFA8ZOprx18lS5d6keg,,
196,UU1Zfl25ChVRoGlY39y_eg,steak,"breakfast,staff,service"
197,4UmjnX46qbhV6-D5W89IOQ,lunch,"line,service,meat,fries,time,breakfast,nacho,taco"
198,SDdB_gFAWW23cNmtwT-dAA,,"taco,service,lunch,drink,salsa"
199,YQHTkxWKgrrFLr8dPaXLVw,,"lunch,staff,service,burrito"
200,vLO7WdSy53qYHXl_PiRf1w,,"lunch,dinner,service"
201,I779CNMLWhZu6BxkGfLvwQ,"staff,dinner","service,lunch,time,shrimp"
202,IYedXxcwJJwxv-6DpMPvtA,lunch,"time,price,service,wait"
203,RgqetGtygIGTHYhysPLktw,"lunch,staff","chips,service,guacamole,steak"
204,37n2MtSu1Xe8j1ci8jd-0g,,time
205,jqAdZf9PJo8lsRskc6T1Sw,"chips,salsa",service
206,Sh_c-UZ8Tk_H1porVieNmA,"breakfast,time","lunch,service"
207,eNMNXsMjT_PJ5sslcmoYQQ,staff,"service,fries,time,nacho,taco"
208,seJ7Hlwr583gNGkT3amzIA,,
209,_6mvQX9x66oz046eS5ii8w,"time,service,beef",staff
210,v57Aq8TlBOrzo2j4SSpWCg,guacamole,"time,service"
211,hI-1qtiZmdyPHD-_i7LHFg,,"burrito,pork"
212,qdG4tYLHKJ33Rut7BQM-Zg,drink,"staff,service,fries"
213,URwrgfuyfpVqgnKwkawlHw,,"time,service,burrito"
214,m2WXjeA959-YC1MzzA0APg,,"chipotle,burrito"
215,KUbCQ2ah__c5x0q_6b4oTA,chips,"time,service,chicken,shrimp"
